=== 服务器启动 ===
[2025-07-24 11:24:22.996] 服务器已初始化，准备接收0-999共1000个音频块
[2025-07-24 11:24:22.997] ASR流服务器已在 0.0.0.0:8000 启动
[2025-07-24 11:24:22.998] 接收路径格式: /api/v1/asr/stream/[块编号] (0-999)
[2025-07-24 11:24:22.999] 输出文件: received_audio.pcm, 日志文件: stream_server.log
[2025-07-24 11:24:42.651] 请求 #56 - 块 55 已写入 (版本 1), 位置: 352000, 已接收: 56/1000 (5.6%)
[2025-07-24 11:24:42.746] 请求 #57 (ID: 1d414b33) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/56
[2025-07-24 11:24:42.747] 请求 #57 - 块 56, 大小: 6400 bytes, 数据哈希: 3a113495
[2025-07-24 11:24:42.769] 请求 #57 - 块 56 已写入 (版本 1), 位置: 358400, 已接收: 57/1000 (5.7%)
[2025-07-24 11:24:42.806] 请求 #58 (ID: 8efb4a79) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/57
[2025-07-24 11:24:42.872] 请求 #58 - 块 57, 大小: 6400 bytes, 数据哈希: 0fd95265
[2025-07-24 11:24:42.884] 请求 #58 - 块 57 已写入 (版本 1), 位置: 364800, 已接收: 58/1000 (5.8%)
[2025-07-24 11:24:42.926] 请求 #59 (ID: 0fb810e1) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/58
[2025-07-24 11:24:43.049] 请求 #59 - 块 58, 大小: 6400 bytes, 数据哈希: 8d851c68
[2025-07-24 11:24:43.068] 请求 #59 - 块 58 已写入 (版本 1), 位置: 371200, 已接收: 59/1000 (5.9%)
[2025-07-24 11:24:43.213] 请求 #60 (ID: e319b5ba) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/59
[2025-07-24 11:24:43.214] 请求 #60 - 块 59, 大小: 6400 bytes, 数据哈希: 02d39dc3
[2025-07-24 11:24:43.232] 请求 #60 - 块 59 已写入 (版本 1), 位置: 377600, 已接收: 60/1000 (6.0%)
[2025-07-24 11:24:43.259] 请求 #61 (ID: 897c3e37) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/60
[2025-07-24 11:24:43.320] 请求 #61 - 块 60, 大小: 6400 bytes, 数据哈希: a3dc9d88
[2025-07-24 11:24:43.332] 请求 #61 - 块 60 已写入 (版本 1), 位置: 384000, 已接收: 61/1000 (6.1%)
[2025-07-24 11:24:43.379] 请求 #62 (ID: b7aa8a54) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/61
[2025-07-24 11:24:43.443] 请求 #62 - 块 61, 大小: 6400 bytes, 数据哈希: 88f9d3b9
[2025-07-24 11:24:43.456] 请求 #62 - 块 61 已写入 (版本 1), 位置: 390400, 已接收: 62/1000 (6.2%)
[2025-07-24 11:24:43.501] 请求 #63 (ID: 4a346489) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/62
[2025-07-24 11:24:43.566] 请求 #63 - 块 62, 大小: 6400 bytes, 数据哈希: 5830ec30
[2025-07-24 11:24:43.585] 请求 #63 - 块 62 已写入 (版本 1), 位置: 396800, 已接收: 63/1000 (6.3%)
[2025-07-24 11:24:43.619] 请求 #64 (ID: 6edc8b19) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/63
[2025-07-24 11:24:43.743] 请求 #64 - 块 63, 大小: 6400 bytes, 数据哈希: 07a50d90
[2025-07-24 11:24:43.763] 请求 #64 - 块 63 已写入 (版本 1), 位置: 403200, 已接收: 64/1000 (6.4%)
[2025-07-24 11:24:43.846] 请求 #65 (ID: 983553ca) - 客户端: 192.168.202.196, 方法: POST, 路径: /api/v1/asr/stream/64
